Vampires: 65, Zombies: 80, Witches: 17, Houses: 37
Vampires: 42, Zombies: 98, Witches: 26, Houses: 64
Vampires: 42, Zombies: 21, Witches: 10, Houses: 76
Vampires: 49, Zombies: 23, Witches: 73, Houses: 76
Vampires: 70, Zombies: 1, Witches: 64, Houses: 90
Vampires: 41, Zombies: 33, Witches: 4, Houses: 19
Vampires: 11, Zombies: 46, Witches: 60, Houses: 73
Vampires: 12, Zombies: 37, Witches: 8, Houses: 49
Vampires: 11, Zombies: 38, Witches: 100, Houses: 79
Vampires: 13, Zombies: 82, Witches: 55, Houses: 96
Vampires: 10, Zombies: 72, Witches: 39, Houses: 92
Vampires: 66, Zombies: 4, Witches: 28, Houses: 24
Vampires: 41, Zombies: 78, Witches: 100, Houses: 69
Vampires: 66, Zombies: 89, Witches: 31, Houses: 59
Vampires: 72, Zombies: 57, Witches: 84, Houses: 87
Vampires: 76, Zombies: 66, Witches: 44, Houses: 39
Vampires: 13, Zombies: 100, Witches: 55, Houses: 28
Vampires: 53, Zombies: 12, Witches: 77, Houses: 44
Vampires: 12, Zombies: 11, Witches: 71, Houses: 66
Vampires: 5, Zombies: 12, Witches: 31, Houses: 30
Vampires: 31, Zombies: 88, Witches: 26, Houses: 25
Vampires: 20, Zombies: 58, Witches: 30, Houses: 47
Vampires: 19, Zombies: 61, Witches: 10, Houses: 47
Vampires: 57, Zombies: 5, Witches: 71, Houses: 21
Vampires: 39, Zombies: 68, Witches: 92, Houses: 91
Vampires: 95, Zombies: 39, Witches: 90, Houses: 68
Vampires: 70, Zombies: 97, Witches: 85, Houses: 31
Vampires: 51, Zombies: 99, Witches: 98, Houses: 90
Vampires: 89, Zombies: 8, Witches: 35, Houses: 64
Vampires: 19, Zombies: 86, Witches: 54, Houses: 40
Vampires: 1, Zombies: 61, Witches: 75, Houses: 14
Vampires: 88, Zombies: 19, Witches: 67, Houses: 89
Vampires: 27, Zombies: 19, Witches: 13, Houses: 54
Vampires: 50, Zombies: 8, Witches: 61, Houses: 12
Vampires: 8, Zombies: 59, Witches: 0, Houses: 10
Vampires: 6, Zombies: 74, Witches: 11, Houses: 91
Vampires: 25, Zombies: 75, Witches: 72, Houses: 39
Vampires: 90, Zombies: 85, Witches: 49, Houses: 24
Vampires: 9, Zombies: 61, Witches: 96, Houses: 43
Vampires: 42, Zombies: 94, Witches: 50, Houses: 43
